Gameno,weekid,gamedatetime,awayid,homeid,gametype
133,519,'2025-11-3 13:00:00',39,17,2
134,519,'2025-11-3 16:05:00',24,31,2
135,519,'2025-11-3 16:25:00',23,21,2
136,519,'2025-11-3 16:25:00',35,32,2
137,519,'2025-11-3 20:20:00',11,20,2
138,519,'2025-11-4 20:15:00',28,14,2
139,520,'2025-11-7 20:15:00',7,5,2
140,520,'2025-11-10 9:30:00',17,27,2
141,520,'2025-11-10 13:00:00',25,26,2
142,520,'2025-11-10 13:00:00',3,9,2
143,520,'2025-11-10 13:00:00',13,14,2
144,520,'2025-11-10 13:00:00',22,11,2
145,520,'2025-11-10 13:00:00',1,24,2
146,520,'2025-11-10 13:00:00',6,39,2
147,520,'2025-11-10 13:00:00',30,28,2
148,520,'2025-11-10 16:05:00',10,34,2
149,520,'2025-11-10 16:25:00',2,31,2
150,520,'2025-11-10 16:25:00',20,18,2
151,520,'2025-11-10 20:20:00',23,12,2
152,520,'2025-11-11 20:15:00',4,35,
153,521,'2025-11-14 20:15:00',39,20,2
154,521,'2025-11-17 13:00:00',5,6,2
155,521,'2025-11-17 13:00:00',8,26,2
156,521,'2025-11-17 13:00:00',21,24,2
157,521,'2025-11-17 13:00:00',11,23,2
158,521,'2025-11-17 13:00:00',36,4,2
159,521,'2025-11-17 13:00:00',35,1,2
160,521,'2025-11-17 13:00:00',22,10,2
161,521,'2025-11-17 16:05:00',25,13,2
162,521,'2025-11-17 16:05:00',32,30,2
163,521,'2025-11-17 16:25:00',7,34,2
164,521,'2025-11-17 16:25:00',14,3,2
165,521,'2025-11-17 20:20:00',9,2,2
166,521,'2025-11-18 20:15:00',12,18,2
167,522,'2025-11-21 20:15:00',6,8,2
168,522,'2025-11-24 13:00:00',18,39,2
169,522,'2025-11-24 13:00:00',23,9,2
170,522,'2025-11-24 13:00:00',14,27,2
171,522,'2025-11-24 13:00:00',22,24,2
172,522,'2025-11-24 13:00:00',1,4,2
173,522,'2025-11-24 13:00:00',28,17,2
174,522,'2025-11-24 13:00:00',10,12,2
175,522,'2025-11-24 16:05:00',13,36,2
176,522,'2025-11-24 16:25:00',31,32,2
177,522,'2025-11-24 16:25:00',30,21,2
178,522,'2025-11-24 20:20:00',20,35,2
179,522,'2025-11-25 20:15:00',5,34,2
180,523,'2025-11-28 12:30:00',24,23,2
181,523,'2025-11-28 16:30:00',17,18,2
182,523,'2025-11-28 20:20:00',4,21,2
183,523,'2025-11-29 15:00:00',36,14,2
184,523,'2025-12-1 13:00:00',31,22,2
185,523,'2025-12-1 13:00:00',12,11,2
186,523,'2025-12-1 13:00:00',9,1,2
187,523,'2025-12-1 13:00:00',34,25,2
188,523,'2025-12-1 13:00:00',6,7,2
189,523,'2025-12-1 13:00:00',32,2,2
190,523,'2025-12-1 13:00:00',10,39,2
191,523,'2025-12-1 16:05:00',35,26,2
192,523,'2025-12-1 16:05:00',28,27,2
193,523,'2025-12-1 16:25:00',20,5,2
194,523,'2025-12-1 20:20:00',30,3,2
195,523,'2025-12-2 20:15:00',8,13,2
196,524,'2025-12-5 20:15:00',21,23,2
197,524,'2025-12-8 13:00:00',25,22,2
198,524,'2025-12-8 13:00:00',27,20,2
199,524,'2025-12-8 13:00:00',8,6,2
200,524,'2025-12-8 13:00:00',11,10,2
201,524,'2025-12-8 13:00:00',36,28,2
202,524,'2025-12-8 13:00:00',26,17,2
203,524,'2025-12-8 13:00:00',2,4,2
204,524,'2025-12-8 16:05:00',32,31,2
205,524,'2025-12-8 16:25:00',3,35,2
206,524,'2025-12-8 16:25:00',24,30,2
207,524,'2025-12-8 20:20:00',34,14,2
208,524,'2025-12-9 20:15:00',7,18,2
209,525,'2025-12-12 20:15:00',35,30,2
210,525,'2025-12-15 13:00:00',5,17,2
211,525,'2025-12-15 13:00:00',7,10,2
212,525,'2025-12-15 13:00:00',18,27,2
213,525,'2025-12-15 13:00:00',14,8,2
214,525,'2025-12-15 13:00:00',4,12,2
215,525,'2025-12-15 13:00:00',2,11,2
216,525,'2025-12-15 13:00:00',39,26,2
217,525,'2025-12-15 16:25:00',3,23,2
218,525,'2025-12-15 16:25:00',9,13,2
219,525,'2025-12-15 16:25:00',1,31,2
220,525,'2025-12-15 16:25:00',6,20,2
221,525,'2025-12-15 16:25:00',28,34,2
222,525,'2025-12-15 20:20:00',21,32,2
223,525,'2025-12-16 20:00:00',24,22,2
224,525,'2025-12-16 20:30:00',25,36,2
225,526,'2025-12-19 20:15:00',8,7,2
226,526,'2025-12-21 13:00:00',12,14,2
227,526,'2025-12-21 16:30:00',6,5,2
228,526,'2025-12-22 13:00:00',31,27,2
229,526,'2025-12-22 13:00:00',23,24,2
230,526,'2025-12-22 13:00:00',35,2,2
231,526,'2025-12-22 13:00:00',1,3,2
232,526,'2025-12-22 13:00:00',17,25,2
233,526,'2025-12-22 13:00:00',20,39,2
234,526,'2025-12-22 13:00:00',10,9,2
235,526,'2025-12-22 16:05:00',13,34,2
236,526,'2025-12-22 16:05:00',22,32,2
237,526,'2025-12-22 16:25:00',11,36,2
238,526,'2025-12-22 16:25:00',30,4,2
239,526,'2025-12-22 20:20:00',28,18,2
240,526,'2025-12-23 20:15:00',26,21,2
241,527,'2025-12-25 13:00:00',14,6,2
242,527,'2025-12-25 16:30:00',5,12,2
243,527,'2025-12-26 20:15:00',32,24,2
244,527,'2025-12-28 13:00:00',13,7,2
245,527,'2025-12-28 16:30:00',31,35,2
246,527,'2025-12-28 20:00:00',34,1,2
247,527,'2025-12-29 13:00:00',25,39,2
248,527,'2025-12-29 13:00:00',27,28,2
249,527,'2025-12-29 13:00:00',21,22,2
250,527,'2025-12-29 13:00:00',9,17,2
251,527,'2025-12-29 13:00:00',36,26,2
252,527,'2025-12-29 13:00:00',2,3,2
253,527,'2025-12-29 13:00:00',10,11,2
254,527,'2025-12-29 16:25:00',18,20,2
